,,,ID: 0000,,0092,,0010,,0004,,0009,,0023,,0025,,0033,,0035,,0030,,0038,,0039,,0049,,0053,,0059,,0060,,0065,,0062,,0077,,0078,,0086,,0094,,0097,,0098,,0104,,0107,,0111,,0113,,0117,,0124,,0128,,0129,,0135,,0138,,144,,0162,,0165,,0169,,0191,,0199,,0267,,0310,,0363,,0432,,0445,,0460,,0486,,0532,,0570,,0583,,0606,,0691
,,,6,,9,,7,,8,,7,,9,,7,,5,,7,,3,,7,,8,,2,,4,,8,,5,,6,,8,,7,,5,,3,,6,,4,,7,,7,,8,,3,,7,,3,,2,,8,,5,,3,,3,,4,,6,,9,,8,,8,,3,,3,,2,,3,,3,,7,,7,,8,,7,,7,,8,,9,,9
,,,7,,9,,7,,8,,7,,9,,10,,9,,8,,2,,7,,8,,2,,7,,6,,8,,8,,4,,5,,6,,2,,3,,3,,7,,8,,9,,3,,8,,3,,3,,7,,8,,4,,7,,9,,4,,9,,9,,9,,4,,3,,6,,7,,8,,9,,8,,10,,7,,8,,9,,4,,5
,,,8,,9,,8,,9,,8,,8,,8,,7,,9,,2,,7,,9,,7,,9,,8,,7,,9,,6,,3,,7,,8,,8,,8,,5,,9,,7,,3,,9,,5,,7,,7,,8,,8,,6,,8,,8,,7,,8,,6,,7,,8,,8,,8,,7,,7,,7,,9,,8,,8,,8,,8,,8
